player,team,position,role,owner_status,roster_status,age,fpts,fpg_raw,fpg_regressed,ros_pct,rkov,estimated_games,sample_confidence,win_now_score,dynasty_score,dynasty_minus_win_now,ip,ip_pct,whip,k_per_9,qs_rate,prospect_bonus,age_curve,mlb_overall_rank,mlb_org_rank,vor,vor_pos
Max Meyer,MIA,SP,SP,Kipp,Active,27.0,193.0,13.79,13.79,94.0,68.0,14.0,1.0,95.51,82.16,-13.36,79.0,96.76,1.09,9.8,0.29,0.0,5.0,,,89.0,SP
Nick Martinez,TB,"SP,RP",SP/RP,Kipp,Active,35.0,170.0,13.08,8.61,90.0,100.0,13.0,0.54,94.06,62.01,-32.05,77.2,95.19,1.17,5.13,0.62,0.0,-13.0,,,67.0,RP
Kevin Gausman,TOR,SP,SP,Kipp,Active,35.0,168.0,12.0,12.0,99.0,110.0,14.0,1.0,93.81,63.3,-30.51,80.0,97.5,1.1,8.89,0.5,0.0,-13.0,,,64.0,SP
Randy Arozarena,SEA,OF,H,Kipp,Active,31.0,224.0,3.2,3.2,99.0,22.0,70.0,1.0,91.95,77.05,-14.9,,,,,,0.0,0.0,,,80.5,OF
Sonny Gray,BOS,SP,SP,Kipp,Active,36.0,126.0,11.45,11.45,98.0,227.0,11.0,1.0,89.46,58.43,-31.03,56.1,78.98,1.25,7.06,0.55,0.0,-13.0,,,22.0,SP
Nico Hoerner,CHC,2B,H,Kipp,Active,29.0,193.0,2.84,2.84,99.0,67.0,67.96,1.0,87.57,73.79,-13.78,,,,,,0.0,0.0,,,39.5,2B
William Contreras,MIL,C,H,Kipp,Active,28.0,175.5,2.79,2.79,99.0,90.0,62.9,1.0,87.15,73.1,-14.05,,,,,,0.0,0.0,,,73.0,C
Jarren Duran,BOS,OF,H,Kipp,Active,29.0,163.0,2.67,2.67,99.0,120.0,61.05,1.0,83.27,70.41,-12.86,,,,,,0.0,0.0,,,19.5,OF
Brooks Lee,MIN,"3B,SS",H,Kipp,Active,25.0,162.5,2.46,2.46,82.0,121.0,66.06,1.0,80.36,71.76,-8.61,,,,,,0.0,6.0,,,9.5,3B
Keider Montero,DET,"SP,RP",SP/RP,Kipp,Active,25.0,130.0,10.0,6.94,47.0,209.0,13.0,0.54,78.7,66.8,-11.9,72.1,91.39,1.01,5.99,0.38,0.0,10.0,,,27.0,RP
Vinnie Pasquantino,KC,1B,H,Kipp,Active,28.0,157.0,2.38,2.38,94.0,130.0,65.97,1.0,78.62,66.8,-11.83,,,,,,0.0,0.0,,,-29.5,1B
Robbie Ray,SF,SP,SP,Kipp,Active,34.0,104.0,7.43,7.43,91.0,303.0,14.0,1.0,78.32,56.63,-21.69,73.1,92.41,1.4,8.13,0.29,0.0,-6.0,,,0.0,SP
Matt Chapman,SF,3B,H,Kipp,Reserve,33.0,169.5,2.49,2.49,88.0,104.0,68.07,1.0,77.46,60.61,-16.85,,,,,,0.0,-5.0,,,16.5,3B
Chad Patrick,MIL,"SP,RP",SP/RP,Kipp,Active,27.0,122.0,6.78,5.91,57.0,246.0,17.99,0.75,77.3,62.1,-15.2,52.2,77.87,1.25,7.07,0.06,0.0,5.0,,,19.0,RP
Fernando Tatis Jr.,SD,"2B,OF",H,Kipp,Active,27.0,148.0,2.24,2.24,99.0,156.0,66.07,1.0,76.29,71.92,-4.37,,,,,,0.0,6.0,,,4.5,OF
Curtis Mead,WSH,"1B,3B",H,Kipp,Reserve,25.0,151.5,2.81,2.81,66.0,145.0,53.91,1.0,75.79,65.93,-9.86,,,,,,0.0,6.0,,,-1.5,3B
Chase Meidroth,CHW,"2B,SS",H,Kipp,Active,24.0,149.5,2.3,2.3,72.0,150.0,65.0,1.0,74.73,72.34,-2.4,,,,,,0.0,12.0,,,-4.0,2B
Cole Young,SEA,2B,H,Kipp,Active,22.0,149.5,2.14,2.14,66.0,170.0,69.86,1.0,69.77,68.18,-1.6,,,,,,0.0,12.0,,,-4.0,2B
Tanner Scott,LAD,RP,RP,Kipp,Active,31.0,118.0,3.93,3.93,76.0,260.0,30.03,1.0,69.61,56.09,-13.52,27.2,54.35,0.81,10.59,0.0,0.0,0.0,,,15.0,RP
Colin Rea,CHC,SP,SP,Kipp,Active,35.0,70.0,5.0,5.0,44.0,472.0,14.0,1.0,60.7,28.28,-32.42,69.1,88.61,1.43,7.03,0.14,0.0,-13.0,,,-34.0,SP
Ramon Laureano,SD,OF,H,Kipp,Reserve,31.0,112.5,2.12,2.12,50.0,278.0,53.07,1.0,57.85,44.7,-13.15,,,,,,0.0,0.0,,,-31.0,OF
Janson Junk,MIA,SP,SP,Kipp,Reserve,30.0,66.0,6.0,6.0,27.0,495.0,11.0,1.0,55.92,35.18,-20.74,60.0,81.85,1.3,6.45,0.18,0.0,0.0,,,-38.0,SP
Bailey Ober,MIN,SP,SP,Kipp,Inj Res,30.0,97.0,8.08,8.08,74.0,334.0,12.0,1.0,53.33,38.46,-14.87,66.2,87.04,1.22,6.25,0.33,0.0,0.0,,,-7.0,SP
Garrett Crochet,BOS,SP,SP,Kipp,Inj Res,26.0,37.0,6.17,4.87,99.0,698.0,6.0,0.55,38.78,36.76,-2.02,30.0,61.3,1.47,11.1,0.5,0.0,5.0,,,-67.0,SP
Francisco Lindor,NYM,SS,H,Kipp,Inj Res,32.0,55.5,2.31,2.1,98.0,566.0,24.03,0.53,37.06,25.65,-11.41,,,,,,0.0,-5.0,,,-100.0,SS
Brady House,WSH,3B,H,Kipp,Minors,23.0,98.0,2.23,2.22,47.0,330.0,43.95,0.98,32.87,70.14,37.27,,,,,,15.45,12.0,,,,
Nolan Gorman,STL,3B,H,Kipp,Reserve,26.0,95.0,1.53,1.53,43.0,349.0,62.09,1.0,30.56,33.28,2.72,,,,,,0.0,6.0,,,-58.0,3B
Tony Santillan,CIN,RP,RP,Kipp,Reserve,29.0,58.0,1.93,1.93,32.0,553.0,30.05,1.0,20.86,17.02,-3.84,26.0,50.19,1.58,8.65,0.0,0.0,0.0,,,-45.0,RP
Dennis Santana,PIT,RP,RP,Kipp,Reserve,30.0,43.0,1.48,1.48,40.0,657.0,29.05,1.0,18.11,16.98,-1.13,27.0,52.22,1.59,7.33,0.0,0.0,0.0,,,-60.0,RP
Camilo Doval,NYY,RP,RP,Kipp,Reserve,28.0,43.0,1.48,1.48,24.0,654.0,29.05,1.0,16.03,17.98,1.94,24.2,47.04,1.2,7.81,0.0,0.0,5.0,,,-60.0,RP
Edwin Uceta,TB,RP,RP,Kipp,Inj Res,28.0,0.0,0.0,3.32,32.0,9358.0,0.0,0.0,10.93,9.66,-1.27,0.0,10.65,,,,0.0,5.0,,,-103.0,RP
Jarlin Susana,WSH,SP,SP,Kipp,Minors,22.0,0.0,0.0,3.32,42.0,9011.0,0.0,0.0,4.63,64.03,59.41,0.0,10.65,,,,16.099999999999998,14.0,,,,
Ethan Salas,SD,C,H,Kipp,Minors,20.0,0.0,0.0,1.86,44.0,8294.0,0.0,0.0,3.3,77.17,73.88,,,,,,26.0,17.0,49.0,,,
Arjun Nimmala,TOR,SS,H,Kipp,Minors,20.0,0.0,0.0,1.86,36.0,6820.0,0.0,0.0,1.46,68.14,66.68,,,,,,19.0,17.0,53.0,,,
Cooper Pratt,MIL,SS,H,Kipp,Minors,21.0,0.0,0.0,1.86,36.0,7586.0,0.0,0.0,1.46,68.14,66.68,,,,,,19.0,17.0,63.0,,,
Michael Arroyo,SEA,2B,H,Kipp,Minors,21.0,0.0,0.0,1.86,36.0,1452.0,0.0,0.0,1.06,75.08,74.02,,,,,,26.0,17.0,45.0,,,
Felnin Celesten,SEA,SS,H,Kipp,Minors,20.0,0.0,0.0,1.86,32.0,2484.0,0.0,0.0,0.94,67.18,66.24,,,,,,19.0,17.0,98.0,,,
Ryan Clifford,NYM,"1B,OF",H,Kipp,Minors,22.0,0.0,0.0,1.86,33.0,2641.0,0.0,0.0,0.27,56.65,56.38,,,,,,13.349999999999998,12.0,,,,
Jonny Farmelo,SEA,OF,H,Kipp,Minors,21.0,0.0,0.0,1.86,32.0,3608.0,0.0,0.0,0.14,67.06,66.92,,,,,,19.0,17.0,71.0,,,
Jeferson Quero,MIL,C,H,Kipp,Minors,23.0,1.0,1.0,1.84,27.0,1068.0,1.0,0.02,0.0,54.39,54.39,,,,,,12.45,12.0,,,,
